linearity,z_min
0.3594,3.7
0.28800000000000003,5.3323
0.2671,-0.037000000000000005
0.1635,2.1421
0.4145,1.9369999999999998
0.1964,7.1610000000000005
0.2186,-0.0335
0.3984,-0.871
0.2819,5.624
0.6889,0.8740000000000001
0.3997,3.2310000000000003
0.3641,0.29
0.4956,6.4164
0.2778,2.072
0.4177,0.214
0.1452,11.259
0.2199,1.7355
0.2161,-1.1833
0.2225,7.619
0.5302,5.121
0.1446,2.5937
0.3543,-0.057999999999999996
0.2157,1.486
0.4319,0.1758
0.408,4.36
0.8259,2.245
0.47600000000000003,0.027000000000000003
0.3458,6.779
0.3375,2.1185
0.1686,0.2445
0.259,-0.040999999999999995
0.2586,-0.10099999999999999
0.4525,-0.109
0.5375,-0.062
0.4195,0.044000000000000004
0.2008,0.039
0.5483,19.0155
0.2658,13.302999999999999
0.4444,4.748
0.2143,0.293
0.2541,12.783
0.2686,8.4817
0.2726,5.686
0.5147,8.7902
0.3317,1.2962
0.1988,3.2893
0.3593,6.1770000000000005
0.1947,0.0265
0.2943,4.149
0.2858,13.258
0.4106,1.8430000000000002
0.3777,0.033
0.3672,7.385
0.4633,0.034
0.9186,1.2825
0.4311,2.2324
0.3342,-0.048
0.1684,8.1857
0.2629,28.3745
0.297,6.442
0.3146,9.8738
0.7051,6.9353
0.7558,-0.054000000000000006
0.2077,-0.038
0.2732,7.2
0.2947,5.307
0.2146,0.102
0.193,-0.055
0.3445,-0.03
0.3066,0.297
0.6547,0.021
0.2999,10.8797
0.1219,0.0218
0.9155,-0.054000000000000006
0.3947,1.865
0.2743,11.7288
0.6289,-0.054000000000000006
0.289,5.832999999999999
0.2395,12.4227
0.4124,-0.2935
0.263,3.2925
0.4572,5.052
0.348,3.5592
0.2895,0.054000000000000006
0.3283,-0.032
0.2587,-0.0145
0.3794,-0.0903
0.3584,3.338
0.2869,2.569
0.249,6.397
0.3779,5.746
0.4552,12.6417
0.7562,5.185
0.5892,2.096
0.3188,-0.028999999999999998
0.3458,2.8724
0.3434,1.304
0.2474,-0.23399999999999999
0.2347,19.5306
0.2617,-0.045
0.4765,-0.009000000000000001
0.3123,1.47
0.3169,-0.055
0.2337,3.145
0.2455,4.7393
0.3261,1.6874
0.2514,3.478
0.4961,0.7659999999999999
0.1897,0.0594
0.3155,4.9468
0.7154,0.1679
0.4125,0.08
0.3805,0.24100000000000002
0.9482,1.069
0.36700000000000005,27.8263
0.3898,-0.038
0.4001,0.235
0.2297,2.675
0.3256,-0.028999999999999998
0.2206,0.485
0.3798,-0.052000000000000005
0.1699,-0.213
0.4879,5.1903
0.5126,2.5435
0.5258,0.027000000000000003
0.3683,-0.048
0.3169,-0.055
0.9036,5.8906
0.4523,0.5793
0.5011,6.442
0.4741,0.06
0.2556,8.669
0.2489,0.473
0.2444,4.8353
0.2725,6.3804
0.2687,8.5283
0.5258,0.027000000000000003
0.2551,0.4736
0.311,0.1493
0.1519,3.27
0.2806,-0.038
0.2158,3.7260000000000004
0.4521,6.54
0.3077,3.361
0.3376,3.6310000000000002
0.3968,3.685
0.7631,2.215
0.5603,2.306
0.2786,-1.165
0.2362,10.724
0.2707,7.615
0.9103,0.348
0.3875,6.273
0.4754,-0.013000000000000001
0.3086,-0.034
0.1876,15.321
0.1923,-0.0155
0.2735,1.2726
0.62,6.75
0.285,-0.0762
0.9777,6.5376
0.2481,4.084
0.3032,4.495
0.3262,1.704
0.4122,-0.021
0.3379,25.651
0.2853,4.772
0.3617,-0.023
0.2999,-0.031
0.8834,6.6344
0.5345,6.102
0.2048,-0.053
0.259,-0.040999999999999995
0.4439,11.713
0.284,0.001
0.1394,8.607000000000001
0.2557,0.053
0.2771,8.577
0.3684,-0.0246
0.1152,0.1838
0.4785,8.7418
0.3287,2.8623
0.6352,-0.139
0.3156,0.644
0.2347,-0.158
0.355,4.888
0.2173,6.071000000000001
0.3889,5.167000000000001
0.2395,0.9690000000000001
0.1783,0.052000000000000005
0.2196,3.79
0.2551,3.283
0.5374,1.825
0.2264,5.3870000000000005
0.4394,10.61
0.3507,8.1167
0.5385,8.616
0.3658,11.037
0.3902,10.747
0.8105,2.3221
0.4381,5.315
0.2109,12.837
0.2981,-0.039
0.2677,3.3985
0.3544,20.951999999999998
0.2392,15.3896
0.2974,-0.1085
0.2951,0.026000000000000002
0.3676,6.785
0.2561,1.6218
0.2897,1.867
0.2417,2.1848
0.3432,2.5787
0.4365,5.6824
0.6817,3.0244
0.5421,9.9813
0.24600000000000002,-0.063
0.2192,2.7815
0.2793,6.1565
0.1535,2.331
0.5939,0.0327
0.1922,13.3115
0.2186,14.962
0.2001,-0.823
0.3568,4.538
0.284,5.8870000000000005
0.377,11.317
0.1668,-0.10099999999999999
0.3471,8.577
0.3212,5.4662
0.3526,11.052
0.2818,0.5329999999999999
0.1858,-0.11699999999999999
0.5046,1.1035
0.2405,-0.027000000000000003
0.2782,2.153
0.3618,1.347
0.2403,-0.055
0.3945,4.092
0.1622,-0.015
0.3351,-0.8690000000000001
0.3815,0.027000000000000003
0.4475,3.8289999999999997
0.2793,5.1285
0.4912,-0.039
0.2611,2.0859
0.2695,9.34
0.2939,11.2305
0.2486,11.267000000000001
0.35600000000000004,10.045
0.3443,4.648
0.2436,8.1772
0.3082,3.359
0.2358,-0.081
0.3152,8.046
0.5581,3.5602
0.4775,12.062000000000001
0.2896,-0.135
0.3049,7.0243
0.5062,16.246
0.4223,3.1836
0.253,17.54
0.3011,6.185
0.6221,0.262
0.3927,9.961
0.2249,7.8839999999999995
0.2455,4.4745
0.35600000000000004,6.406000000000001
0.2714,6.529
0.2579,9.298
0.3282,4.73
0.1886,-0.0412
0.3087,-0.004
0.2801,1.7009999999999998
0.4171,-0.03
0.2559,10.6085
0.2003,2.8289999999999997
0.397,-0.11
0.4235,10.1901
0.2912,-0.035
0.2061,-0.037000000000000005
0.4968,2.477
0.3467,-0.095
0.3792,6.7365
0.3451,5.749
0.2735,13.4684
0.2577,0.616
0.1904,2.1312
0.4757,6.067
0.2274,-0.26899999999999996
0.1877,0.3205
0.2707,-0.037000000000000005
0.3303,4.3792
0.2606,3.1719999999999997
0.8337,9.5394
0.2106,2.4245
0.2291,0.1817
0.259,8.048
0.2873,9.044
0.249,11.2751
0.4027,6.9270000000000005
0.7548,0.601
0.4918,0.5165
0.3077,3.0775
0.9186,1.2825
0.2385,6.8646
0.0979,2.8585
0.3659,-0.006999999999999999
0.3867,0.8270000000000001
0.3324,-0.183
0.4503,13.844000000000001
0.5752,-0.061
0.4791,0.1271
0.2439,29.93
0.305,5.042
0.5095,0.633
0.3613,29.4255
0.4883,8.116
0.3759,4.896
0.1662,-0.233
0.3418,9.4155
0.2721,1.4580000000000002
0.4288,3.6727
0.8525,4.587
0.2492,2.0340000000000003
0.3771,3.45
0.2885,7.44
0.3579,2.64
0.2455,8.5314
0.3525,2.2640000000000002
0.5322,21.691999999999997
0.2088,-0.012
0.5296,-0.0083
0.2753,10.389000000000001
0.4464,8.0807
0.1479,0.073
0.6575,0.485
0.2357,-0.0445
0.4232,11.1299
0.2486,-0.054000000000000006
0.2127,0.0394
0.9544,5.5520000000000005
0.1178,12.6633
0.1795,2.2119999999999997
0.0905,19.162
0.2965,4.9872
0.2127,11.4457
0.2919,4.728
0.5834,9.836
0.3781,7.837999999999999
0.4697,0.008
0.2354,5.332999999999999
0.1513,2.0367
0.188,14.637
0.3649,0.043
0.1858,4.348
0.2253,0.7167
0.4028,8.775
0.2487,1.2819999999999998
0.3548,4.489
0.1305,-0.0347
0.2632,16.2965
0.3131,15.18
0.3566,-0.0385
0.4176,6.435
0.2686,-0.049
0.3005,-0.053
0.3609,6.711
0.1694,0.043
0.289,0.1347
0.1803,-0.414
0.478,-0.10099999999999999
0.5722,0.5479999999999999
0.2875,9.972999999999999
0.2335,10.8727
0.3985,-0.122
0.2845,12.847000000000001
0.3618,18.535999999999998
0.2214,6.6275
0.19399999999999998,-0.163
0.3676,1.383
0.1675,0.0363
0.3608,9.123
0.2428,4.851
0.5067,-0.001
0.3946,11.1125
0.2616,7.1165
0.1921,9.095
0.2755,13.728
0.3671,9.107000000000001
0.3031,0.191
0.3336,0.4205
0.1973,0.7845
0.2923,-0.033
0.3802,4.495
0.2903,6.5885
0.1834,-0.0339
0.2846,5.6545
0.2598,2.839
0.4811,6.325
0.3068,1.1817
0.3629,12.544
0.6134,9.5894
0.2216,0.7779
0.4156,5.3338
0.4158,12.491
0.3638,7.5365
0.2537,6.292999999999999
0.6736,0.1872
0.2656,7.4225
0.3968,10.682
0.3883,0.006
0.207,-0.0453
0.4428,7.4242
0.4471,0.0216
0.3127,2.3783
0.5944,1.5813
0.2965,0.14300000000000002
0.2518,12.130999999999998
0.3511,5.22
0.2801,-0.046
0.3655,1.1287
0.3588,5.815
0.2478,-0.015
0.3918,0.002
0.5875,3.1060000000000003
0.3246,2.9827
0.243,14.5722
0.426,7.617999999999999
0.3088,19.76
0.223,-0.16899999999999998
0.3556,4.944
0.3215,6.8870000000000005
0.2987,-0.1672
0.1495,7.8863
0.508,6.511
0.3457,-0.285
0.2541,6.3244
0.2208,0.638
0.2676,0.5
0.3077,4.88
0.1723,-0.0446
0.3035,-0.0272
0.2922,1.139
0.3251,0.1323
0.2021,0.0781
0.2464,-0.0244
0.4278,-0.039
0.2389,0.5554
0.2247,2.394
0.4385,14.377
0.3276,8.134
0.2494,-0.081
0.3211,6.522
0.5036,4.4249
0.4499,0.0217
0.3749,9.277999999999999
0.2629,3.0069999999999997
0.3805,4.8934
0.3139,10.0914
0.1465,5.8687
0.5068,0.9329999999999999
0.28600000000000003,13.244000000000002
0.3002,-0.1089
0.2161,-0.33799999999999997
0.7511,0.9255
0.3217,7.6233
0.3244,4.6633
0.3143,0.122
0.2641,6.7843
0.2156,1.102
0.4662,17.339000000000002
0.5822,9.33
0.5836,8.157
0.3211,8.1752
0.408,16.28
0.2614,-0.044000000000000004
0.6823,0.29600000000000004
0.3328,4.8791
0.2291,-0.038
0.5466,5.3335
0.2819,7.7779
0.2356,3.7719
0.3007,7.54
0.2957,5.0907
0.3287,5.2293
0.3241,6.5120000000000005
0.3022,3.8233
0.2771,7.7620000000000005
0.2825,0.0881
0.3155,5.8286
0.2273,-0.214
0.6322,0.301
0.5397,-0.02
0.3994,-0.038
0.7979999999999999,0.7909999999999999
0.5086,4.0477
0.121,18.066
0.1237,-0.1268
0.2308,0.0135
0.4907,-0.299
0.3728,18.184
0.1754,6.1770000000000005
0.35,7.314
0.4998,-0.419
0.3979,0.091
0.4372,12.002
0.2759,0.7386
0.2852,8.257
0.2085,4.3867
0.2362,2.3818
0.8688,-0.0429
0.3463,4.433
0.3498,10.6784
0.4871,-0.034
0.2527,6.502000000000001
0.3219,4.545
0.3252,2.8080000000000003
0.18600000000000003,-0.3852
0.2922,-0.051
0.2931,13.333
0.3242,15.0377
0.4076,4.4239999999999995
0.4932,1.5390000000000001
0.1814,2.1323
0.385,0.004
0.2135,13.4967
0.3166,7.77
0.4386,3.0335
0.39899999999999997,0.166
0.249,11.2751
0.2482,1.683
0.2221,-0.1063
0.3459,3.088
0.3174,13.3066
0.6888,0.8390000000000001
0.5466,3.4764
0.5282,12.026
0.3808,7.644
0.2504,-0.057
0.3197,2.7889999999999997
0.5125,5.4027
0.2027,7.3391
0.2349,10.402999999999999
0.2557,10.1853
0.1791,0.938
0.3874,7.102
0.8706,-0.0502
0.2928,0.027999999999999997
0.3457,5.821000000000001
0.4973,-0.042
0.3338,1.1595
0.22399999999999998,4.2323
0.1228,-0.087
0.3382,1.1059999999999999
0.3266,0.003
0.3987,2.44
0.9155,-0.054000000000000006
0.3511,5.22
0.425,2.032
0.3269,0.008
0.2349,-0.0146
0.6733,6.934
0.4197,0.748
0.2426,13.481
0.2036,2.6860000000000004
0.2079,0.11199999999999999
0.265,16.007
0.6158,8.988999999999999
0.3584,-0.053
0.3823,0.61
0.1683,0.0048
0.254,9.863
0.2441,6.407
0.3135,15.138
0.204,1.3108
0.2525,1.442
0.1804,-0.012
0.2768,7.6579999999999995
0.3162,-0.0418
0.36700000000000005,27.8263
0.2854,8.3049
0.6619,0.133
0.6212,9.133
0.479,9.021
0.2673,5.877000000000001
0.2027,-0.053
0.1975,-0.10800000000000001
0.28600000000000003,1.1909999999999998
0.385,9.6299
0.4191,18.2835
0.2507,0.0794
0.2483,13.5785
0.3261,11.909
0.5117,3.8867
0.1612,7.9703
0.3001,9.46
0.3732,8.993
0.2709,3.1180000000000003
0.3331,0.258
0.47100000000000003,6.194
0.3132,4.5355
0.2727,4.9581
0.2968,1.8619999999999999
0.2538,-0.0915
0.1699,-0.213
0.27,3.0345
0.2655,-0.14800000000000002
0.45399999999999996,1.099
0.138,0.127
0.3041,8.687000000000001
0.3455,1.4967
0.312,9.6475
0.1679,-0.1698
0.3253,9.391
0.3362,12.748
0.5559,3.195
0.3892,4.6755
0.4959,-0.006
0.2106,5.0095
0.2677,-0.028999999999999998
0.2894,10.89
0.6366,1.006
0.2017,5.066
0.2658,-0.077
0.2699,0.0453
0.2536,4.6328
0.4073,1.541
0.254,13.835
0.2788,1.439
0.2734,2.736
0.2216,0.7779
0.4602,0.051
0.2619,9.8363
0.3064,3.978
0.1813,5.649
0.3377,6.0221
0.3056,-0.045
0.3729,1.8273
0.2344,13.2263
0.1903,4.3012
0.3694,7.444
0.3929,8.9645
0.6328,0.231
0.2963,-0.067
0.5242,-0.039
0.4942,0.9570000000000001
0.7616,0.9209999999999999
0.4197,8.582
0.2628,0.037000000000000005
0.5176,1.95
0.29600000000000004,2.6165
0.5413,3.9094
0.5693,-0.044000000000000004
0.361,-0.047
0.3771,3.45
0.3527,4.635
0.315,-0.045
0.5069,2.385
0.307,1.774
0.5796,0.3094
0.2789,2.8924
0.2444,-0.025
0.3524,8.28
0.4195,8.286
0.3833,5.374
0.28600000000000003,13.244000000000002
0.281,20.1264
0.2534,5.9715
0.3126,-0.0425
0.3166,6.178
0.5592,-0.098
0.2911,-0.132
0.2804,-0.054000000000000006
0.3318,5.999
0.18600000000000003,-0.0055
0.2958,0.0823
0.2854,2.5377
0.3442,5.665
0.4366,-0.017
0.3467,2.1519999999999997
0.2681,17.508
0.2904,14.79
0.2396,12.93
0.2267,11.399000000000001
0.2213,2
0.5968,2.6919999999999997
0.3074,-0.0295
0.2681,6.5665
0.1736,-0.11699999999999999
0.3981,1.633
0.39899999999999997,0.166
0.2021,0.0781
0.2739,-0.048
0.2515,0.2658
0.4232,-0.0344
0.4886,1.781
0.344,10.075
0.3261,10.49
0.3606,14.892000000000001
0.6147,1.2429999999999999
0.2378,-0.08
0.4717,10.722999999999999
0.2063,-0.0545
0.2547,7.3794
0.2398,3.5469999999999997
0.7892,-0.037000000000000005
0.4234,8.529
0.3161,1.505
0.2115,-0.031
0.4702,0.9383
0.716,-0.0182
0.2528,3.4655
0.5133,2.496
0.2494,-0.047
0.3238,2.504
0.2735,13.4684
0.2369,1.557
0.2802,3.18
0.3233,3.6205
0.2908,8.7243
0.3551,8.584
0.2793,3.1860000000000004
0.5094,4.221
0.2462,-0.009000000000000001
0.3491,5.9879999999999995
0.3317,-0.114
0.1451,16.939
0.2813,0.21899999999999997
0.1769,0.524
0.2221,0.02
0.4122,5.734
0.2603,0.235
0.9549,2.083
0.3629,-0.11
0.2855,2.2319999999999998
0.7674,9.442
0.3878,6.138999999999999
0.42200000000000004,8.474
0.23,-0.22399999999999998
0.1011,-0.2801
0.2708,-0.017
0.3215,2.3184
0.2698,1.068
0.5584,11.5809
0.3875,6.0293
0.1602,6.6824
0.2604,-0.053
0.3296,2.9336
0.2676,0.5
0.4551,1.2911
0.2754,0.0799
0.3928,13.0521
0.4102,1.095
0.3021,3.9264
0.376,15.577
0.3409,3.042
0.3742,3.634
0.2243,8.825
0.3553,2.6425
0.594,2.7177
0.3025,4.382
0.2965,1.8559999999999999
0.3337,3.967
0.2414,-0.053
0.2338,1.8267
0.2484,11.3383
0.3179,-0.040999999999999995
0.3256,0.03
0.4132,7.295
0.3969,0.2341
0.2686,4.4855
0.2315,1.3940000000000001
0.2904,-0.006999999999999999
0.2662,4.34
0.2019,0.0337
0.3536,-0.0703
0.44299999999999995,-0.054000000000000006
0.1401,0.095
0.4274,7.317
0.3426,0.466
0.6192,-0.0325
0.2402,-0.012
0.3655,9.549
0.4361,4.308
0.2407,4.3735
0.2382,-0.02
0.2143,-0.0257
0.6214,2.4945
0.2543,2.256
0.3514,0.0357
0.3654,0.75
0.1878,-0.0336
0.2898,16.5187
0.4141,9.94
0.2874,6.9910000000000005
0.4935,0
0.504,5.3183
0.281,1.055
0.316,3.4130000000000003
0.2177,0.445
0.2611,9.524
0.4396,3.177
0.3458,-0.115
0.4197,9.885
0.3527,6.432
0.519,1.179
0.2463,4.406000000000001
0.2596,2.4755
0.2039,0.005
0.3844,13.373
0.2203,7.6277
0.5075,4.8128
0.1895,0.428
0.24600000000000002,23.2373
0.3479,-0.054000000000000006
0.442,-0.052000000000000005
0.1973,2.82
0.1439,3.0214
0.3133,-0.027999999999999997
0.3116,0.9
0.3411,11.7848
0.6451,7.5787
0.1714,0.3707
0.336,0.1818
0.3352,2.8289999999999997
0.5406,7.435
0.3122,2.1219
0.16,0.9782
0.331,1.085
0.3287,-0.0752
0.6479,16.8829
0.27899999999999997,-0.156
0.2896,-0.135
0.1738,4.3061
0.2561,4.9293
0.2395,-0.115
0.2764,5.087
0.5606,-0.032
0.6021,10.286
0.1853,-0.1051
0.14800000000000002,7.468999999999999
0.3484,9.166
0.2562,6.268
0.2497,-0.052000000000000005
0.2251,4.3812
0.2529,-0.043
0.6625,0.39799999999999996
0.2415,3.792
0.2577,-0.015
0.11900000000000001,-0.0585
0.4298,7.2925
0.1812,-0.035
0.7295,2.2422
0.2587,-0.228
0.2398,-0.3233
0.4314,0.24600000000000002
0.0952,2.499
0.2682,18.792
0.2091,-0.0137
0.2292,9.302
0.2442,3.273
0.5855,2.5403
0.6228,-0.0447
0.3376,-0.013000000000000001
0.5552,-0.048
0.2761,4.676
0.2762,-0.47600000000000003
0.2847,2.082
0.5409,0.1845
0.3633,0.4907
0.2095,2.252
0.4946,-0.040999999999999995
0.2366,15.119000000000002
0.4682,-0.07400000000000001
0.2205,7.5705
0.1127,2.3811
0.28600000000000003,8.7933
0.4802,-0.016
0.4242,11.081
0.3798,-0.052000000000000005
0.4515,-0.017
0.1732,13.837
0.2919,-0.009000000000000001
0.1805,-1.2228
0.3792,6.7365
0.3581,2.4787
0.2466,9.294
0.9243,-0.0393
0.3334,-0.002
0.2365,-0.061
0.2653,-0.042
0.8109999999999999,5.6758
0.4944,0.033
0.3712,-0.083
0.4991,-0.028999999999999998
0.2816,10.5299
0.2897,2.7889999999999997
0.2502,0.2688
0.3459,0.2235
0.2106,4.3218
0.4044,1.5590000000000002
0.3575,15.993
0.3485,8.06
0.3923,1.436
0.2186,-0.09300000000000001
0.1695,0.353
0.2726,0.001
0.5855,2.5403
0.3269,3.247
0.3036,5.53
0.4445,8.5863
0.3495,16.8355
0.3493,5.728
0.373,9.027000000000001
0.8823,8.7778
0.3095,7.2010000000000005
0.4773,3.4589999999999996
0.2274,-0.163
0.2526,-0.0972
0.09,1.8336
0.3699,-0.026000000000000002
0.3525,-0.034
0.3725,5.1065
0.3655,8.237
0.3389,8.402000000000001
0.2349,-0.0295
0.3483,7.882000000000001
0.2947,5.4275
0.4529,3.013
0.2966,-0.053
0.6261,6.4206
0.3904,11.402999999999999
0.298,7.871
0.2585,0.0369
0.5615,0.922
0.4328,-0.098
0.5879,1.018
0.3497,9.51
0.1921,0.373
0.272,9.0598
0.2695,9.34
0.4952,10.854000000000001
0.355,0.401
0.2295,3.2898
0.4258,11.0235
0.3738,-0.027000000000000003
0.2548,1.8459999999999999
0.3125,0.836
0.3739,-0.309
0.4286,2.251
0.5392,-0.0283
0.3993,-0.046
0.1389,4.1849
0.1796,-0.0201
0.2948,2.9442
0.3448,10.874
0.2955,0.03
0.2455,2.503
0.4701,11.323
0.3226,6.649
0.7197,0.0801
0.3904,11.402999999999999
0.2548,11.609000000000002
0.2544,-0.0186
0.3215,3.8089999999999997
0.3181,17.3763
0.2966,8.452
0.2797,0.499
0.1743,0.037000000000000005
0.2646,2.338
0.4471,5.9475
0.2817,-0.0315
0.3491,-0.5720000000000001
0.2784,-0.027000000000000003
0.6629,6.0753
0.2277,0.8023
0.3077,3.4888
0.2616,0.6815
0.1905,0.006999999999999999
0.3233,0.0287
0.3303,3.7757
0.259,3.9339999999999997
0.3764,-0.049
0.4122,1.2402
0.2788,-0.0221
0.2946,8.3255
0.2667,8.683
0.4356,8.1925
0.2346,-0.036000000000000004
0.3162,10.6764
0.4592,2.7460000000000004
0.716,-0.0182
0.2759,-0.015
0.2789,3.389
0.2932,2.188
0.3391,0.982